행정동코드,자치구,행정동명,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율,재생도시
1135066500,노원구,상계3·4동,-31.64388661383822,4,-28.940986257073565,4,89.9182561307902,0.22288846380223665,0.09060476751030018,0.0
1117066000,용산구,이태원2동,-53.21768006412457,4,-10.040705563093622,1,81.34684147794991,0.17748957850856878,0.02621584066697545,0.0
1171053200,송파구,거여2동,-44.18800539083558,4,-33.160621761658035,4,82.7338129496403,0.18039317123642007,0.04097258147956544,0.0
1130553500,강북구,미아동,-42.74236600469784,5,5.78345662407532,2,80.0360522757999,0.19601285041587815,0.04990538221185583,0.0
1156068000,영등포구,신길6동,-55.50623094614109,5,-4.3591979075850045,1,72.4077328646749,0.1685805673535735,0.02412039221855173,0.0
1168073000,강남구,일원1동,-35.470531905632456,5,-8.098987626546682,2,87.23404255319151,0.1998483603967903,0.10223036583054276,0.0
1130560300,강북구,번2동,-38.284953186821795,5,-9.18803418803419,2,86.68146503884572,0.23863636363636365,0.10354206963249517,0.0
1156067000,영등포구,신길5동,-61.490637799882975,4,-23.76068376068376,4,86.4676616915423,0.165893085787452,0.04305377720870679,0.0
1168051000,강남구,신사동,-39.953709246179024,5,-16.693679092382492,4,70.48665620094191,0.17553505971384653,0.01182452406290647,0.0
1132067000,도봉구,쌍문2동,-54.753834524128855,5,-5.229357798165138,1,71.74468085106379,0.19571266618571576,0.051015149953622586,0.0
1117053000,용산구,남영동,-37.75706323275035,5,-7.171775592828225,1,88.4130982367758,0.2023164120256284,0.15586495810744208,0.0
1168066000,강남구,개포1동,-82.49904917936865,5,-64.54293628808864,3,74.07407407407409,0.23493253373313344,0.022788605697151423,0.0
1123074000,동대문구,이문1동,-42.260503160242905,5,-20.799407846039973,4,89.89361702127658,0.1550106107050224,0.032775288846970056,0.0
1156066000,영등포구,신길4동,-54.38255510784546,4,-35.067437379576106,4,89.12237330037078,0.17111145367658392,0.05256667180514876,0.0
1126055000,중랑구,면목5동,-38.04270144720386,4,-25.418060200668894,4,77.1968854282536,0.14582907032262465,0.04951913239206057,0.0
1159052000,동작구,노량진2동,-50.41613041613042,5,-2.53388332351208,1,94.2013129102845,0.19960035523978686,0.07312018946121966,0.0
1138065000,은평구,수색동,-65.4118201823326,4,-41.53005464480874,5,81.38297872340429,0.18049387102504885,0.04645585361520697,0.0
1156065000,영등포구,신길3동,-40.898710865561696,2,-25.583657587548643,5,88.3720930232558,0.17085038151056064,0.0443436912529028,0.0
1132070000,도봉구,방학2동,-34.05593927374684,5,-10.144927536231883,3,77.08803611738149,0.2089092951692473,0.1089727934352562,0.0
1150060400,강서구,가양2동,-40.133254116448825,5,-1.478743068391867,2,75.6302521008403,0.2646010419522896,0.21524540718398685,0.0
