시설명,주소,위도,경도,분류,소분류
영등포공원 물놀이장,서울특별시 영등포구 영등포본동 582-25,,,수영장,수영장
영롱이 갈대2구장,영등포구 양화동 8-3,37.54367,126.8862,간이운동장,축구장
영롱이 갈대1구장,영등포구 양화동 8-3,37.51799,126.8813,간이운동장,축구장
선유중학교,영등포구 선유로 213,37.53288,126.8943,간이운동장,학교체육시설
양화한강공원 축구장,영등포구 양화동 1-4,37.53835,126.9023,간이운동장,축구장
영롱이 억새3구장,영등포구 문래동 6가 52,37.52147,126.8808,간이운동장,축구장
도림2동유수지내체육시설,영등포구 도림동 254,37.50679,126.8974,간이운동장,배드민턴장
도림2동유수지내체육시설,영등포구 도림동 254,37.50679,126.8974,간이운동장,클라이밍장
오목교족구장,영등포구 양평동 488,37.52495,126.8806,간이운동장,족구장
여의 아이스파크,영등포구 여의공원로 68,37.52681,126.9223,간이운동장,빙상장
여의도중학교,영등포구 국제금웅로7길 46,37.52391,126.9358,간이운동장,학교체육시설
도림2동유수지내체육시설,영등포구 도림동 254,37.50679,126.8974,간이운동장,족구장
영등포 제1스포츠센터,영등포구 신풍로 1,37.50049,126.9062,체육단련장,생활체육관
영등포공원 풋살경기장,영등포구 신길로 275,37.51578,126.9122,간이운동장,풋살장
영등포 제2스포츠센터,영등포구 국회대로 615,37.52665,126.9026,체육단련장,생활체육관
신길종합사회복지관 체육관,영등포구 영등포로84길 24-5,37.51104,126.9214,체육단련장,생활체육관
문래청소년수련관 체육관,영등포구 문래로 110,37.51896,126.8941,체육단련장,생활체육관
영등포 제1스포츠센터 수영장,영등포구 신풍로 1,37.50049,126.9062,수영장,수영장
영등포 제2스포츠센터 수영장,영등포구 국회대로 615,37.52665,126.9026,수영장,수영장
신길종합복지관 수영장,영등포구 영등포로84길 24-5,37.51104,126.9214,수영장,수영장
문래청소년수련관 수영장,영등포구 문래로 110,37.51878,126.894,수영장,수영장
여의도 한강공원 수영장,영등포구 여의도동 82-3,37.53349,126.9205,수영장,수영장
영등포 제1스포츠센터 골프연습장,영등포구 신풍로 1,37.50049,126.9062,간이운동장,골프연습장
여의도 한강공원 파크골프장,영등포구 여의도동 70-1,37.51919,126.9428,간이운동장,골프연습장
대림체육공원 테니스장,영등포구 도신로 1-16,37.50434,126.8952,간이운동장,테니스장
대림체육공원 축구장,영등포구 도신로 1-16,37.50434,126.8952,간이운동장,축구장
대림체육공원 농구장,영등포구 도신로 1-16,37.50434,126.8952,간이운동장,농구장
영롱이 인라인장,서울특별시 영등포구 문래동5가 31,,,간이운동장,인라인스케이트장
대림체육공원 배드민턴장,영등포구 도신로 1-16,37.50434,126.8952,간이운동장,배드민턴장
양화한강공원 배구장,영등포구 양화동 1-4,37.53835,126.9023,간이운동장,배구장
양화한강공원 농구장,영등포구 양화동 1-4,37.53835,126.9023,간이운동장,농구장
성산대교풋살장,영등포구 양화동 1-113,37.54653,126.8882,간이운동장,풋살장
영롱이 억새1구장,영등포구 문래동 6가 52,37.51927,126.8808,간이운동장,축구장
영롱이 억새2구장,영등포구 문래동 6가 52,37.52032,126.8807,간이운동장,축구장
영롱이 갈대3구장,영등포구 양화동 8-3,37.54273,126.8868,간이운동장,축구장
난지양화여의도한강수영장,서울특별시 영등포구 여의동 82-1번지,,,수영장,수영장
