구분,이름,주소
문화센터,롯데마트?문화센터?VIC영등포점,서울특별시 영등포구 영중로 125 롯데마트
문화센터,신세계아카데미 타임스퀘어점,서울특별시 영등포구 영중로 9 신세계백화점 리빙관 7층
문화센터,홈플러스문화센터 영등포점,서울특별시 영등포구 당산로 42 홈플러스영등포점 B2
문화센터,풀잎문화센터?영등포지부,서울특별시 영등포구 영중로 50 영진빌딩 4층
문화센터,롯데마트?문화센터?양평점,서울특별시 영등포구 선유로 138 롯데마트
문화센터,한우리문화센터,서울특별시 영등포구 디지털로37나길 21
문화센터,CH1985,서울 영등포구 여의대로 108 더현대서울 6층
문화센터,고운미래문화센터,서울 영등포구 영등포로36길 9 지하1층 고운미래문화센터 교육실
문화센터,다드림문화복합센터,서울 영등포구 대림로21길 11
문화센터,아하서울시립청소년성문화센터,서울특별시 영등포구 영신로 200
문화센터,렛츠런 문화공감센터 영등포,서울 영등포구 영중로8길 14
문화센터,영등포구여성소통문화공간 HEY YDP,서울 영등포구 당산로29길 9
국립도서관,국회도서관,서울특별시 영등포구 의사당대로 1 (여의도동)
공공도서관,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10 (당산동)10 (영등포평생학습관)
공공도서관,대림정보문화도서관,서울특별시 영등포구 도신로 27 (대림동)27 (대림정보문화도서관)
공공도서관,문래정보문화도서관,서울특별시 영등포구 문래로20길 49 (문래동3가)문래정보문화도서관
공공도서관,선유정보문화도서관,서울특별시 영등포구 선유로43가길 10-8 양평동3가32143
공공도서관,여의샛강마을도서관,"서울특별시 영등포구 여의대로24 전국경제인연합회 후생복지동 1, 2층"
박물관,국회 헌정기념관,서울특별시 영등포구 의사당대로 1 
박물관,한국잡지박물관,"서울특별시 영등포구 여의대방로67길 11, 잡지회관 지하1층"
미술관,63아트,서울특별시 영등포구 63로 50
문예회관,영등포아트홀,서울시 영등포구 국회대로 596 영등포구민회관
지방문화원,영등포문화원,서울특별시 영등포구 신길로 275
